,country,month-year,value
0,Albania,Jul2019,0
1,Algeria,Jul2019,0
2,Angola,Jul2019,1067
3,Argentina,Jul2019,77
4,Armenia,Jul2019,0
5,Australia,Jul2019,197
6,Austria,Jul2019,0
7,Azerbaijan,Jul2019,565
8,Bahrain,Jul2019,148
9,Bangladesh,Jul2019,0
10,Barbados,Jul2019,0
11,Belarus,Jul2019,39
12,Belgium,Jul2019,0
13,Belize,Jul2019,0
14,Bermuda,Jul2019,0
15,Bolivia,Jul2019,0
16,Brazil,Jul2019,1341
17,Brunei Darussalam,Jul2019,79
18,Bulgaria,Jul2019,0
19,Canada,Jul2019,3314
20,Albania,Aug2019,0
21,Algeria,Aug2019,0
22,Angola,Aug2019,1136
23,Argentina,Aug2019,66
24,Armenia,Aug2019,0
25,Australia,Aug2019,281
26,Austria,Aug2019,0
27,Azerbaijan,Aug2019,553
28,Bahrain,Aug2019,150
29,Bangladesh,Aug2019,0
30,Barbados,Aug2019,0
31,Belarus,Aug2019,50
32,Belgium,Aug2019,0
33,Belize,Aug2019,0
34,Bermuda,Aug2019,0
35,Bolivia,Aug2019,0
36,Brazil,Aug2019,1330
37,Brunei Darussalam,Aug2019,105
38,Bulgaria,Aug2019,0
39,Canada,Aug2019,3295
40,Albania,Sep2019,0
41,Algeria,Sep2019,516
42,Angola,Sep2019,1009
43,Argentina,Sep2019,61
44,Armenia,Sep2019,0
45,Australia,Sep2019,288
46,Austria,Sep2019,0
47,Azerbaijan,Sep2019,561
48,Bahrain,Sep2019,152
49,Bangladesh,Sep2019,0
50,Barbados,Sep2019,0
51,Belarus,Sep2019,56
52,Belgium,Sep2019,0
53,Belize,Sep2019,0
54,Bermuda,Sep2019,0
55,Bolivia,Sep2019,0
56,Brazil,Sep2019,1325
57,Brunei Darussalam,Sep2019,106
58,Bulgaria,Sep2019,0
59,Canada,Sep2019,3243
60,Albania,Oct2019,0
61,Algeria,Oct2019,562
62,Angola,Oct2019,998
63,Argentina,Oct2019,83
64,Armenia,Oct2019,0
65,Australia,Oct2019,294
66,Austria,Oct2019,0
67,Azerbaijan,Oct2019,540
68,Bahrain,Oct2019,138
69,Bangladesh,Oct2019,0
70,Barbados,Oct2019,0
71,Belarus,Oct2019,42
72,Belgium,Oct2019,0
73,Belize,Oct2019,0
74,Bermuda,Oct2019,0
75,Bolivia,Oct2019,0
76,Brazil,Oct2019,1577
77,Brunei Darussalam,Oct2019,125
78,Bulgaria,Oct2019,0
79,Canada,Oct2019,3290
80,Albania,Nov2019,0
81,Algeria,Nov2019,470
82,Angola,Nov2019,1090
83,Argentina,Nov2019,65
84,Armenia,Nov2019,0
85,Australia,Nov2019,339
86,Austria,Nov2019,0
87,Azerbaijan,Nov2019,544
88,Bahrain,Nov2019,155
89,Bangladesh,Nov2019,0
90,Barbados,Nov2019,0
91,Belarus,Nov2019,34
92,Belgium,Nov2019,0
93,Belize,Nov2019,0
94,Bermuda,Nov2019,0
95,Bolivia,Nov2019,0
96,Brazil,Nov2019,1671
97,Brunei Darussalam,Nov2019,121
98,Bulgaria,Nov2019,0
99,Canada,Nov2019,3125
100,Albania,Dec2019,0
101,Algeria,Dec2019,528
102,Angola,Dec2019,1185
103,Argentina,Dec2019,53
104,Armenia,Dec2019,0
105,Australia,Dec2019,282
106,Austria,Dec2019,0
107,Azerbaijan,Dec2019,562
108,Bahrain,Dec2019,199
109,Bangladesh,Dec2019,0
110,Barbados,Dec2019,0
111,Belarus,Dec2019,33
112,Belgium,Dec2019,0
113,Belize,Dec2019,0
114,Bermuda,Dec2019,0
115,Bolivia,Dec2019,0
116,Brazil,Dec2019,1466
117,Brunei Darussalam,Dec2019,114
118,Bulgaria,Dec2019,0
119,Canada,Dec2019,3380
120,Albania,Jan2020,0
121,Algeria,Jan2020,491
122,Angola,Jan2020,1236
123,Argentina,Jan2020,34
124,Armenia,Jan2020,0
125,Australia,Jan2020,277
126,Austria,Jan2020,0
127,Azerbaijan,Jan2020,540
128,Bahrain,Jan2020,134
129,Bangladesh,Jan2020,0
130,Barbados,Jan2020,0
131,Belarus,Jan2020,0
132,Belgium,Jan2020,0
133,Belize,Jan2020,0
134,Bermuda,Jan2020,0
135,Bolivia,Jan2020,0
136,Brazil,Jan2020,1600
137,Brunei Darussalam,Jan2020,89
138,Bulgaria,Jan2020,0
139,Canada,Jan2020,3375
140,Albania,Feb2020,0
141,Algeria,Feb2020,418
142,Angola,Feb2020,1161
143,Argentina,Feb2020,38
144,Armenia,Feb2020,0
145,Australia,Feb2020,166
146,Austria,Feb2020,0
147,Azerbaijan,Feb2020,536
148,Bahrain,Feb2020,168
149,Bangladesh,Feb2020,0
150,Barbados,Feb2020,0
151,Belarus,Feb2020,0
152,Belgium,Feb2020,0
153,Belize,Feb2020,0
154,Bermuda,Feb2020,0
155,Bolivia,Feb2020,0
156,Brazil,Feb2020,1420
157,Brunei Darussalam,Feb2020,76
158,Bulgaria,Feb2020,0
159,Canada,Feb2020,3360
160,Albania,Mar2020,0
161,Algeria,Mar2020,395
162,Angola,Mar2020,1341
163,Argentina,Mar2020,50
164,Armenia,Mar2020,0
165,Australia,Mar2020,313
166,Austria,Mar2020,0
167,Azerbaijan,Mar2020,540
168,Bahrain,Mar2020,146
169,Bangladesh,Mar2020,0
170,Barbados,Mar2020,0
171,Belarus,Mar2020,0
172,Belgium,Mar2020,0
173,Belize,Mar2020,0
174,Bermuda,Mar2020,0
175,Bolivia,Mar2020,0
176,Brazil,Mar2020,1431
177,Brunei Darussalam,Mar2020,93
178,Bulgaria,Mar2020,0
179,Canada,Mar2020,3446
180,Albania,Apr2020,0
181,Algeria,Apr2020,434
182,Angola,Apr2020,1110
183,Argentina,Apr2020,133
184,Armenia,Apr2020,0
185,Australia,Apr2020,249
186,Austria,Apr2020,0
187,Azerbaijan,Apr2020,576
188,Bahrain,Apr2020,151
189,Bangladesh,Apr2020,0
190,Barbados,Apr2020,0
191,Belarus,Apr2020,12
192,Belgium,Apr2020,0
193,Belize,Apr2020,0
194,Bermuda,Apr2020,0
195,Bolivia,Apr2020,0
196,Brazil,Apr2020,1865
197,Brunei Darussalam,Apr2020,96
198,Bulgaria,Apr2020,0
199,Canada,Apr2020,2847
